YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,9.348,0.519,5.263,0.337,-1.0,-1.0,9.831,0.833,-1.0,-1.0,2.785,0.283,-1.0,-1.0,-1.0,318.6
20020702,9.821,0.519,5.513,0.336,-1.0,-1.0,10.412,0.832,-1.0,-1.0,3.029,0.283,-1.0,-1.0,-1.0,307.2
20020703,8.325,0.518,4.711,0.335,-1.0,-1.0,8.56,0.831,-1.0,-1.0,2.281,0.282,-1.0,-1.0,-1.0,346.4
20020704,8.874,0.518,5.001,0.335,-1.0,-1.0,9.234,0.83,-1.0,-1.0,2.547,0.282,-1.0,-1.0,-1.0,330.2
20020705,8.847,0.518,4.984,0.335,-1.0,-1.0,9.196,0.829,-1.0,-1.0,2.533,0.282,-1.0,-1.0,-1.0,330.6
20020706,9.814,0.518,5.496,0.335,-1.0,-1.0,10.384,0.828,-1.0,-1.0,3.024,0.281,-1.0,-1.0,-1.0,306.3
20020707,8.574,0.516,4.831,0.333,-1.0,-1.0,8.849,0.825,-1.0,-1.0,2.399,0.28,-1.0,-1.0,-1.0,337.6
20020708,10.1,0.517,5.64,0.333,-1.0,-1.0,10.723,0.825,-1.0,-1.0,3.173,0.28,-1.0,-1.0,-1.0,299.4
20020709,10.874,0.517,6.047,0.333,-1.0,-1.0,11.67,0.823,-1.0,-1.0,3.592,0.28,-1.0,-1.0,-1.0,283.8
20020710,10.577,0.516,5.884,0.332,-1.0,-1.0,11.296,0.822,-1.0,-1.0,3.428,0.279,-1.0,-1.0,-1.0,289.1
20020711,8.989,0.514,5.035,0.331,-1.0,-1.0,9.336,0.819,-1.0,-1.0,2.6,0.278,-1.0,-1.0,-1.0,324.5
20020712,8.613,0.513,4.831,0.33,-1.0,-1.0,8.868,0.817,-1.0,-1.0,2.416,0.278,-1.0,-1.0,-1.0,334.4
20020713,8.897,0.513,4.976,0.33,-1.0,-1.0,9.208,0.816,-1.0,-1.0,2.554,0.277,-1.0,-1.0,-1.0,326.1
20020714,9.009,0.512,5.03,0.328,-1.0,-1.0,9.339,0.813,-1.0,-1.0,2.609,0.276,-1.0,-1.0,-1.0,322.6
20020715,8.55,0.511,4.782,0.327,-1.0,-1.0,8.769,0.811,-1.0,-1.0,2.384,0.275,-1.0,-1.0,-1.0,334.6
20020716,9.426,0.511,5.24,0.327,-1.0,-1.0,9.832,0.809,-1.0,-1.0,2.817,0.275,-1.0,-1.0,-1.0,311.1
20020717,9.327,0.51,5.181,0.326,-1.0,-1.0,9.702,0.807,-1.0,-1.0,2.766,0.274,-1.0,-1.0,-1.0,312.9
20020718,8.658,0.509,4.822,0.325,-1.0,-1.0,8.877,0.804,-1.0,-1.0,2.434,0.273,-1.0,-1.0,-1.0,329.8
20020719,8.598,0.508,4.784,0.324,-1.0,-1.0,8.795,0.802,-1.0,-1.0,2.405,0.273,-1.0,-1.0,-1.0,330.8
20020720,8.884,0.507,4.928,0.323,-1.0,-1.0,9.134,0.799,-1.0,-1.0,2.543,0.271,-1.0,-1.0,-1.0,322.3
20020721,9.087,0.506,5.028,0.322,-1.0,-1.0,9.371,0.796,-1.0,-1.0,2.643,0.271,-1.0,-1.0,-1.0,316.4
20020722,8.59,0.505,4.76,0.321,-1.0,-1.0,8.759,0.794,-1.0,-1.0,2.4,0.27,-1.0,-1.0,-1.0,328.9
20020723,8.744,0.504,4.834,0.32,-1.0,-1.0,8.936,0.791,-1.0,-1.0,2.473,0.269,-1.0,-1.0,-1.0,323.9
20020724,9.255,0.503,5.094,0.319,-1.0,-1.0,9.544,0.789,-1.0,-1.0,2.725,0.268,-1.0,-1.0,-1.0,310.0
20020725,8.036,0.501,4.449,0.317,-1.0,-1.0,8.062,0.784,-1.0,-1.0,2.137,0.267,-1.0,-1.0,-1.0,343.0
20020726,8.623,0.5,4.748,0.316,-1.0,-1.0,8.759,0.782,-1.0,-1.0,2.413,0.266,-1.0,-1.0,-1.0,324.8
20020727,8.465,0.499,4.658,0.315,-1.0,-1.0,8.558,0.779,-1.0,-1.0,2.338,0.265,-1.0,-1.0,-1.0,328.3
20020728,8.828,0.498,4.84,0.314,-1.0,-1.0,8.984,0.776,-1.0,-1.0,2.512,0.264,-1.0,-1.0,-1.0,317.5
20020729,9.018,0.497,4.931,0.312,-1.0,-1.0,9.202,0.773,-1.0,-1.0,2.605,0.263,-1.0,-1.0,-1.0,311.7
20020730,8.928,0.495,4.875,0.311,-1.0,-1.0,9.082,0.768,-1.0,-1.0,2.56,0.261,-1.0,-1.0,-1.0,313.0
20020731,9.434,0.494,5.129,0.309,-1.0,-1.0,9.675,0.765,-1.0,-1.0,2.811,0.26,-1.0,-1.0,-1.0,299.9
20020801,8.767,0.492,4.775,0.308,-1.0,-1.0,8.866,0.762,-1.0,-1.0,2.481,0.259,-1.0,-1.0,-1.0,315.2
20020802,8.798,0.491,4.782,0.307,-1.0,-1.0,8.891,0.758,-1.0,-1.0,2.496,0.258,-1.0,-1.0,-1.0,313.4
20020803,9.711,0.49,5.243,0.305,-1.0,-1.0,9.965,0.754,-1.0,-1.0,2.951,0.256,-1.0,-1.0,-1.0,290.8
20020804,8.624,0.487,4.675,0.303,-1.0,-1.0,8.66,0.75,-1.0,-1.0,2.412,0.255,-1.0,-1.0,-1.0,315.7
20020805,9.071,0.486,4.895,0.302,-1.0,-1.0,9.178,0.747,-1.0,-1.0,2.629,0.254,-1.0,-1.0,-1.0,303.3
20020806,8.591,0.484,4.64,0.3,-1.0,-1.0,8.597,0.743,-1.0,-1.0,2.396,0.253,-1.0,-1.0,-1.0,314.3
20020807,7.59,0.482,4.118,0.298,-1.0,-1.0,7.403,0.737,-1.0,-1.0,1.935,0.251,-1.0,-1.0,-1.0,343.1
20020808,8.231,0.48,4.437,0.297,-1.0,-1.0,8.148,0.734,-1.0,-1.0,2.226,0.249,-1.0,-1.0,-1.0,321.8
20020809,8.67,0.479,4.651,0.295,-1.0,-1.0,8.652,0.73,-1.0,-1.0,2.434,0.248,-1.0,-1.0,-1.0,308.5
20020810,8.396,0.477,4.502,0.293,-1.0,-1.0,8.317,0.726,-1.0,-1.0,2.304,0.247,-1.0,-1.0,-1.0,314.5
20020811,8.005,0.475,4.294,0.291,-1.0,-1.0,7.848,0.72,-1.0,-1.0,2.123,0.245,-1.0,-1.0,-1.0,324.3
20020812,7.97,0.473,4.267,0.29,-1.0,-1.0,7.796,0.716,-1.0,-1.0,2.108,0.244,-1.0,-1.0,-1.0,323.8
20020813,7.694,0.47,4.118,0.288,-1.0,-1.0,7.462,0.712,-1.0,-1.0,1.983,0.242,-1.0,-1.0,-1.0,330.9
20020814,7.74,0.468,4.132,0.286,-1.0,-1.0,7.505,0.707,-1.0,-1.0,2.005,0.241,-1.0,-1.0,-1.0,327.8
20020815,8.791,0.467,4.652,0.284,-1.0,-1.0,8.715,0.702,-1.0,-1.0,2.495,0.239,-1.0,-1.0,-1.0,297.2
20020816,8.122,0.464,4.305,0.282,-1.0,-1.0,7.925,0.697,-1.0,-1.0,2.18,0.237,-1.0,-1.0,-1.0,313.3
20020817,8.63,0.463,4.55,0.28,-1.0,-1.0,8.5,0.693,-1.0,-1.0,2.419,0.236,-1.0,-1.0,-1.0,298.2
20020818,8.197,0.46,4.323,0.278,-1.0,-1.0,7.987,0.688,-1.0,-1.0,2.216,0.234,-1.0,-1.0,-1.0,307.9
20020819,7.979,0.457,4.203,0.276,-1.0,-1.0,7.723,0.682,-1.0,-1.0,2.117,0.232,-1.0,-1.0,-1.0,312.4
20020820,7.745,0.455,4.077,0.274,-1.0,-1.0,7.443,0.677,-1.0,-1.0,2.013,0.23,-1.0,-1.0,-1.0,317.5
20020821,8.145,0.453,4.265,0.272,-1.0,-1.0,7.889,0.673,-1.0,-1.0,2.196,0.229,-1.0,-1.0,-1.0,304.3
20020822,7.333,0.45,3.852,0.27,-1.0,-1.0,6.949,0.666,-1.0,-1.0,1.833,0.227,-1.0,-1.0,-1.0,326.8
20020823,7.368,0.447,3.86,0.268,-1.0,-1.0,6.979,0.661,-1.0,-1.0,1.85,0.225,-1.0,-1.0,-1.0,323.7
20020824,7.506,0.445,3.918,0.266,-1.0,-1.0,7.124,0.656,-1.0,-1.0,1.912,0.223,-1.0,-1.0,-1.0,317.3
20020825,7.432,0.442,3.872,0.263,-1.0,-1.0,7.03,0.651,-1.0,-1.0,1.881,0.222,-1.0,-1.0,-1.0,317.7
20020826,7.734,0.44,4.01,0.261,-1.0,-1.0,7.36,0.645,-1.0,-1.0,2.016,0.22,-1.0,-1.0,-1.0,306.5
20020827,7.243,0.437,3.759,0.259,-1.0,-1.0,6.795,0.64,-1.0,-1.0,1.802,0.218,-1.0,-1.0,-1.0,319.6
20020828,7.725,0.434,3.985,0.257,-1.0,-1.0,7.326,0.634,-1.0,-1.0,2.016,0.216,-1.0,-1.0,-1.0,302.7
20020829,7.784,0.432,4.002,0.255,-1.0,-1.0,7.381,0.629,-1.0,-1.0,2.044,0.214,-1.0,-1.0,-1.0,298.9
20020830,7.613,0.429,3.909,0.252,-1.0,-1.0,7.177,0.623,-1.0,-1.0,1.97,0.212,-1.0,-1.0,-1.0,301.7
20020831,7.688,0.426,3.935,0.25,-1.0,-1.0,7.25,0.617,-1.0,-1.0,2.006,0.21,-1.0,-1.0,-1.0,297.4
20020901,7.319,0.423,3.745,0.248,-1.0,-1.0,6.826,0.612,-1.0,-1.0,1.845,0.208,-1.0,-1.0,-1.0,306.1
20020902,7.198,0.42,3.676,0.245,-1.0,-1.0,6.681,0.605,-1.0,-1.0,1.795,0.206,-1.0,-1.0,-1.0,307.6
20020903,7.233,0.417,3.683,0.243,-1.0,-1.0,6.709,0.599,-1.0,-1.0,1.813,0.204,-1.0,-1.0,-1.0,304.1
20020904,6.774,0.413,3.451,0.24,-1.0,-1.0,6.191,0.593,-1.0,-1.0,1.62,0.202,-1.0,-1.0,-1.0,316.8
20020905,7.198,0.41,3.645,0.238,-1.0,-1.0,6.649,0.588,-1.0,-1.0,1.803,0.2,-1.0,-1.0,-1.0,300.4
20020906,7.223,0.407,3.646,0.235,-1.0,-1.0,6.665,0.581,-1.0,-1.0,1.816,0.198,-1.0,-1.0,-1.0,297.2
20020907,7.388,0.404,3.715,0.233,-1.0,-1.0,6.837,0.576,-1.0,-1.0,1.891,0.196,-1.0,-1.0,-1.0,289.9
20020908,7.313,0.401,3.668,0.231,-1.0,-1.0,6.743,0.57,-1.0,-1.0,1.861,0.194,-1.0,-1.0,-1.0,289.6
20020909,7.156,0.398,3.583,0.228,-1.0,-1.0,6.561,0.564,-1.0,-1.0,1.796,0.192,-1.0,-1.0,-1.0,291.7
20020910,7.202,0.395,3.594,0.226,-1.0,-1.0,6.6,0.557,-1.0,-1.0,1.818,0.19,-1.0,-1.0,-1.0,287.8
20020911,6.553,0.391,3.277,0.223,-1.0,-1.0,5.886,0.551,-1.0,-1.0,1.548,0.188,-1.0,-1.0,-1.0,305.9
20020912,6.087,0.387,3.048,0.221,-1.0,-1.0,5.373,0.545,-1.0,-1.0,1.364,0.186,-1.0,-1.0,-1.0,320.4
20020913,5.88,0.384,2.941,0.218,-1.0,-1.0,5.142,0.538,-1.0,-1.0,1.287,0.184,-1.0,-1.0,-1.0,325.9
20020914,6.1,0.381,3.035,0.216,-1.0,-1.0,5.372,0.532,-1.0,-1.0,1.376,0.182,-1.0,-1.0,-1.0,313.9
20020915,6.833,0.378,3.368,0.213,-1.0,-1.0,6.15,0.526,-1.0,-1.0,1.678,0.18,-1.0,-1.0,-1.0,285.6
20020916,6.406,0.374,3.159,0.211,-1.0,-1.0,5.683,0.52,-1.0,-1.0,1.504,0.178,-1.0,-1.0,-1.0,296.7
20020917,6.574,0.371,3.227,0.208,-1.0,-1.0,5.854,0.513,-1.0,-1.0,1.576,0.175,-1.0,-1.0,-1.0,288.1
20020918,6.777,0.367,3.311,0.206,-1.0,-1.0,6.062,0.507,-1.0,-1.0,1.665,0.173,-1.0,-1.0,-1.0,278.9
20020919,6.114,0.364,2.994,0.203,-1.0,-1.0,5.348,0.501,-1.0,-1.0,1.397,0.171,-1.0,-1.0,-1.0,298.0
20020920,7.273,0.361,3.519,0.201,-1.0,-1.0,6.567,0.496,-1.0,-1.0,1.886,0.169,-1.0,-1.0,-1.0,259.4
20020921,6.33,0.357,3.074,0.198,-1.0,-1.0,5.561,0.488,-1.0,-1.0,1.491,0.167,-1.0,-1.0,-1.0,284.3
20020922,6.236,0.353,3.021,0.196,-1.0,-1.0,5.453,0.482,-1.0,-1.0,1.457,0.165,-1.0,-1.0,-1.0,284.4
20020923,5.618,0.349,2.729,0.193,-1.0,-1.0,4.799,0.476,-1.0,-1.0,1.219,0.163,-1.0,-1.0,-1.0,304.2
20020924,5.722,0.346,2.768,0.191,-1.0,-1.0,4.901,0.47,-1.0,-1.0,1.262,0.161,-1.0,-1.0,-1.0,296.7
20020925,6.052,0.342,2.909,0.188,-1.0,-1.0,5.238,0.463,-1.0,-1.0,1.395,0.158,-1.0,-1.0,-1.0,281.3
20020926,6.333,0.339,3.026,0.186,-1.0,-1.0,5.522,0.457,-1.0,-1.0,1.512,0.156,-1.0,-1.0,-1.0,268.8
20020927,6.793,0.336,3.224,0.184,-1.0,-1.0,5.99,0.451,-1.0,-1.0,1.709,0.154,-1.0,-1.0,-1.0,252.4
20020928,6.146,0.332,2.922,0.181,-1.0,-1.0,5.312,0.444,-1.0,-1.0,1.445,0.152,-1.0,-1.0,-1.0,268.5
20020929,6.28,0.328,2.973,0.178,-1.0,-1.0,5.442,0.438,-1.0,-1.0,1.504,0.15,-1.0,-1.0,-1.0,261.2
20020930,6.023,0.324,2.847,0.176,-1.0,-1.0,5.17,0.432,-1.0,-1.0,1.404,0.148,-1.0,-1.0,-1.0,266.1
20021001,6.046,0.321,2.848,0.173,-1.0,-1.0,5.185,0.426,-1.0,-1.0,1.417,0.146,-1.0,-1.0,-1.0,262.2
20021002,6.098,0.317,2.862,0.171,-1.0,-1.0,5.231,0.419,-1.0,-1.0,1.443,0.144,-1.0,-1.0,-1.0,257.3
20021003,5.712,0.313,2.681,0.168,-1.0,-1.0,4.831,0.413,-1.0,-1.0,1.294,0.142,-1.0,-1.0,-1.0,266.7
20021004,5.595,0.309,2.62,0.166,-1.0,-1.0,4.706,0.408,-1.0,-1.0,1.253,0.14,-1.0,-1.0,-1.0,267.4
20021005,5.502,0.306,2.57,0.164,-1.0,-1.0,4.605,0.402,-1.0,-1.0,1.222,0.138,-1.0,-1.0,-1.0,267.3
20021006,5.513,0.302,2.566,0.161,-1.0,-1.0,4.61,0.395,-1.0,-1.0,1.23,0.135,-1.0,-1.0,-1.0,263.5
20021007,5.054,0.298,2.356,0.158,-1.0,-1.0,4.144,0.389,-1.0,-1.0,1.062,0.133,-1.0,-1.0,-1.0,277.6
20021008,4.901,0.294,2.281,0.156,-1.0,-1.0,3.987,0.383,-1.0,-1.0,1.011,0.132,-1.0,-1.0,-1.0,280.4
20021009,4.588,0.291,2.136,0.154,-1.0,-1.0,3.671,0.377,-1.0,-1.0,0.904,0.13,-1.0,-1.0,-1.0,290.9
20021010,4.703,0.287,2.179,0.151,-1.0,-1.0,3.782,0.371,-1.0,-1.0,0.949,0.127,-1.0,-1.0,-1.0,281.5
20021011,4.678,0.283,2.16,0.149,-1.0,-1.0,3.752,0.365,-1.0,-1.0,0.943,0.125,-1.0,-1.0,-1.0,278.8
20021012,4.788,0.28,2.2,0.147,-1.0,-1.0,3.857,0.36,-1.0,-1.0,0.986,0.124,-1.0,-1.0,-1.0,270.1
20021013,4.768,0.276,2.184,0.145,-1.0,-1.0,3.834,0.354,-1.0,-1.0,0.984,0.122,-1.0,-1.0,-1.0,267.1
20021014,4.536,0.273,2.076,0.142,-1.0,-1.0,3.602,0.349,-1.0,-1.0,0.906,0.12,-1.0,-1.0,-1.0,273.6
20021015,4.473,0.269,2.041,0.14,-1.0,-1.0,3.537,0.342,-1.0,-1.0,0.888,0.118,-1.0,-1.0,-1.0,272.6
20021016,3.984,0.265,1.825,0.137,-1.0,-1.0,3.06,0.337,-1.0,-1.0,0.728,0.116,-1.0,-1.0,-1.0,293.8
20021017,3.995,0.262,1.823,0.135,-1.0,-1.0,3.067,0.331,-1.0,-1.0,0.735,0.114,-1.0,-1.0,-1.0,288.9
20021018,3.825,0.258,1.744,0.133,-1.0,-1.0,2.902,0.326,-1.0,-1.0,0.684,0.112,-1.0,-1.0,-1.0,294.5
20021019,3.86,0.255,1.753,0.131,-1.0,-1.0,2.934,0.32,-1.0,-1.0,0.698,0.11,-1.0,-1.0,-1.0,288.0
20021020,3.774,0.251,1.71,0.129,-1.0,-1.0,2.85,0.315,-1.0,-1.0,0.675,0.109,-1.0,-1.0,-1.0,288.7
20021021,3.667,0.248,1.659,0.127,-1.0,-1.0,2.747,0.31,-1.0,-1.0,0.644,0.107,-1.0,-1.0,-1.0,290.8
20021022,3.653,0.244,1.647,0.125,-1.0,-1.0,2.733,0.305,-1.0,-1.0,0.643,0.105,-1.0,-1.0,-1.0,287.2
20021023,3.487,0.241,1.571,0.122,-1.0,-1.0,2.574,0.299,-1.0,-1.0,0.596,0.103,-1.0,-1.0,-1.0,293.5
20021024,3.312,0.237,1.492,0.12,-1.0,-1.0,2.408,0.294,-1.0,-1.0,0.546,0.101,-1.0,-1.0,-1.0,301.1
20021025,3.275,0.234,1.471,0.118,-1.0,-1.0,2.373,0.289,-1.0,-1.0,0.538,0.1,-1.0,-1.0,-1.0,299.1
20021026,3.317,0.231,1.483,0.116,-1.0,-1.0,2.412,0.284,-1.0,-1.0,0.554,0.098,-1.0,-1.0,-1.0,291.4
20021027,3.296,0.227,1.469,0.115,-1.0,-1.0,2.393,0.279,-1.0,-1.0,0.551,0.097,-1.0,-1.0,-1.0,288.2
20021028,3.267,0.224,1.452,0.112,-1.0,-1.0,2.365,0.274,-1.0,-1.0,0.545,0.095,-1.0,-1.0,-1.0,285.6
20021029,3.112,0.221,1.383,0.11,-1.0,-1.0,2.221,0.269,-1.0,-1.0,0.503,0.093,-1.0,-1.0,-1.0,292.4
20021030,3.15,0.218,1.393,0.109,-1.0,-1.0,2.256,0.265,-1.0,-1.0,0.517,0.092,-1.0,-1.0,-1.0,284.9
20021031,2.818,0.214,1.252,0.107,-1.0,-1.0,1.95,0.26,-1.0,-1.0,0.425,0.09,-1.0,-1.0,-1.0,307.2
20021101,2.459,0.211,1.101,0.105,-1.0,-1.0,1.623,0.255,-1.0,-1.0,0.333,0.088,-1.0,-1.0,-1.0,339.3
20021102,2.545,0.208,1.132,0.103,-1.0,-1.0,1.702,0.251,-1.0,-1.0,0.357,0.087,-1.0,-1.0,-1.0,324.0
20021103,2.388,0.205,1.064,0.101,-1.0,-1.0,1.56,0.247,-1.0,-1.0,0.32,0.086,-1.0,-1.0,-1.0,336.8
20021104,2.515,0.202,1.111,0.1,-1.0,-1.0,1.677,0.243,-1.0,-1.0,0.354,0.084,-1.0,-1.0,-1.0,316.6
20021105,2.776,0.2,1.212,0.098,-1.0,-1.0,1.914,0.239,-1.0,-1.0,0.427,0.083,-1.0,-1.0,-1.0,286.8
20021106,2.58,0.197,1.129,0.096,-1.0,-1.0,1.738,0.234,-1.0,-1.0,0.376,0.081,-1.0,-1.0,-1.0,299.9
20021107,2.326,0.194,1.023,0.095,-1.0,-1.0,1.511,0.23,-1.0,-1.0,0.313,0.08,-1.0,-1.0,-1.0,322.3
20021108,2.429,0.191,1.061,0.093,-1.0,-1.0,1.605,0.226,-1.0,-1.0,0.341,0.079,-1.0,-1.0,-1.0,305.5
20021109,2.494,0.188,1.083,0.092,-1.0,-1.0,1.664,0.223,-1.0,-1.0,0.361,0.078,-1.0,-1.0,-1.0,293.9
20021110,2.579,0.186,1.113,0.09,-1.0,-1.0,1.74,0.219,-1.0,-1.0,0.385,0.076,-1.0,-1.0,-1.0,281.3
20021111,2.807,0.184,1.2,0.089,-1.0,-1.0,1.944,0.216,-1.0,-1.0,0.451,0.075,-1.0,-1.0,-1.0,258.3
20021112,2.742,0.181,1.17,0.087,-1.0,-1.0,1.886,0.212,-1.0,-1.0,0.435,0.074,-1.0,-1.0,-1.0,259.2
20021113,2.304,0.178,0.993,0.086,-1.0,-1.0,1.499,0.208,-1.0,-1.0,0.32,0.073,-1.0,-1.0,-1.0,295.0
20021114,2.306,0.176,0.991,0.085,-1.0,-1.0,1.502,0.205,-1.0,-1.0,0.323,0.072,-1.0,-1.0,-1.0,290.2
20021115,2.18,0.173,0.938,0.083,-1.0,-1.0,1.393,0.202,-1.0,-1.0,0.293,0.071,-1.0,-1.0,-1.0,299.9
20021116,2.308,0.171,0.985,0.082,-1.0,-1.0,1.506,0.199,-1.0,-1.0,0.327,0.07,-1.0,-1.0,-1.0,281.3
20021117,2.359,0.169,1.002,0.081,-1.0,-1.0,1.551,0.196,-1.0,-1.0,0.342,0.069,-1.0,-1.0,-1.0,272.1
20021118,2.103,0.167,0.899,0.079,-1.0,-1.0,1.329,0.192,-1.0,-1.0,0.279,0.067,-1.0,-1.0,-1.0,295.6
20021119,2.052,0.164,0.876,0.078,-1.0,-1.0,1.287,0.189,-1.0,-1.0,0.269,0.066,-1.0,-1.0,-1.0,297.5
20021120,1.895,0.162,0.812,0.077,-1.0,-1.0,1.153,0.186,-1.0,-1.0,0.233,0.065,-1.0,-1.0,-1.0,314.5
20021121,1.851,0.16,0.793,0.076,-1.0,-1.0,1.116,0.184,-1.0,-1.0,0.225,0.064,-1.0,-1.0,-1.0,316.5
20021122,1.804,0.158,0.772,0.075,-1.0,-1.0,1.077,0.181,-1.0,-1.0,0.215,0.064,-1.0,-1.0,-1.0,319.4
20021123,1.88,0.157,0.799,0.074,-1.0,-1.0,1.144,0.179,-1.0,-1.0,0.234,0.063,-1.0,-1.0,-1.0,303.4
20021124,1.895,0.155,0.803,0.073,-1.0,-1.0,1.158,0.177,-1.0,-1.0,0.239,0.062,-1.0,-1.0,-1.0,297.3
20021125,1.963,0.153,0.827,0.072,-1.0,-1.0,1.217,0.173,-1.0,-1.0,0.256,0.061,-1.0,-1.0,-1.0,284.4
20021126,1.889,0.151,0.796,0.071,-1.0,-1.0,1.155,0.171,-1.0,-1.0,0.24,0.06,-1.0,-1.0,-1.0,290.3
20021127,1.679,0.149,0.714,0.07,-1.0,-1.0,0.979,0.169,-1.0,-1.0,0.194,0.059,-1.0,-1.0,-1.0,318.6
20021128,1.541,0.148,0.658,0.069,-1.0,-1.0,0.863,0.167,-1.0,-1.0,0.166,0.059,-1.0,-1.0,-1.0,341.2
20021129,1.806,0.147,0.758,0.069,-1.0,-1.0,1.088,0.165,-1.0,-1.0,0.225,0.058,-1.0,-1.0,-1.0,291.1
20021130,1.512,0.145,0.644,0.068,-1.0,-1.0,0.842,0.163,-1.0,-1.0,0.162,0.058,-1.0,-1.0,-1.0,339.0
20021201,1.453,0.143,0.62,0.067,-1.0,-1.0,0.794,0.162,-1.0,-1.0,0.15,0.057,-1.0,-1.0,-1.0,348.1
20021202,1.682,0.142,0.706,0.067,-1.0,-1.0,0.987,0.16,-1.0,-1.0,0.2,0.056,-1.0,-1.0,-1.0,300.1
20021203,1.601,0.141,0.674,0.066,-1.0,-1.0,0.921,0.157,-1.0,-1.0,0.183,0.056,-1.0,-1.0,-1.0,310.5
20021204,1.584,0.14,0.666,0.065,-1.0,-1.0,0.908,0.156,-1.0,-1.0,0.18,0.055,-1.0,-1.0,-1.0,310.4
20021205,1.638,0.139,0.685,0.064,-1.0,-1.0,0.954,0.154,-1.0,-1.0,0.193,0.055,-1.0,-1.0,-1.0,298.1
20021206,1.573,0.138,0.659,0.064,-1.0,-1.0,0.901,0.153,-1.0,-1.0,0.179,0.054,-1.0,-1.0,-1.0,306.6
20021207,1.565,0.137,0.655,0.063,-1.0,-1.0,0.894,0.152,-1.0,-1.0,0.178,0.054,-1.0,-1.0,-1.0,305.4
20021208,1.497,0.136,0.628,0.063,-1.0,-1.0,0.839,0.151,-1.0,-1.0,0.165,0.053,-1.0,-1.0,-1.0,315.6
20021209,1.563,0.135,0.652,0.062,-1.0,-1.0,0.895,0.15,-1.0,-1.0,0.179,0.053,-1.0,-1.0,-1.0,300.9
20021210,1.625,0.134,0.675,0.062,-1.0,-1.0,0.947,0.149,-1.0,-1.0,0.193,0.053,-1.0,-1.0,-1.0,288.3
20021211,1.606,0.133,0.667,0.062,-1.0,-1.0,0.932,0.148,-1.0,-1.0,0.19,0.052,-1.0,-1.0,-1.0,289.4
20021212,1.5,0.133,0.626,0.061,-1.0,-1.0,0.845,0.147,-1.0,-1.0,0.167,0.052,-1.0,-1.0,-1.0,306.4
20021213,1.558,0.132,0.647,0.061,-1.0,-1.0,0.893,0.146,-1.0,-1.0,0.18,0.052,-1.0,-1.0,-1.0,294.2
20021214,1.357,0.131,0.571,0.061,-1.0,-1.0,0.728,0.145,-1.0,-1.0,0.139,0.052,-1.0,-1.0,-1.0,333.5
20021215,1.329,0.131,0.559,0.061,-1.0,-1.0,0.706,0.145,-1.0,-1.0,0.134,0.051,-1.0,-1.0,-1.0,338.9
20021216,1.437,0.13,0.6,0.06,-1.0,-1.0,0.795,0.144,-1.0,-1.0,0.156,0.051,-1.0,-1.0,-1.0,313.1
20021217,1.487,0.13,0.618,0.06,-1.0,-1.0,0.836,0.144,-1.0,-1.0,0.166,0.051,-1.0,-1.0,-1.0,302.3
20021218,1.526,0.13,0.633,0.06,-1.0,-1.0,0.868,0.144,-1.0,-1.0,0.175,0.051,-1.0,-1.0,-1.0,294.4
20021219,1.642,0.13,0.676,0.06,-1.0,-1.0,0.963,0.144,-1.0,-1.0,0.2,0.051,-1.0,-1.0,-1.0,275.1
20021220,1.529,0.13,0.633,0.06,-1.0,-1.0,0.87,0.143,-1.0,-1.0,0.175,0.051,-1.0,-1.0,-1.0,293.2
20021221,1.426,0.13,0.594,0.06,-1.0,-1.0,0.786,0.143,-1.0,-1.0,0.154,0.051,-1.0,-1.0,-1.0,312.7
20021222,1.333,0.129,0.559,0.06,-1.0,-1.0,0.71,0.143,-1.0,-1.0,0.135,0.051,-1.0,-1.0,-1.0,333.9
20021223,1.423,0.13,0.593,0.06,-1.0,-1.0,0.783,0.143,-1.0,-1.0,0.153,0.051,-1.0,-1.0,-1.0,313.5
20021224,1.465,0.13,0.609,0.06,-1.0,-1.0,0.817,0.144,-1.0,-1.0,0.162,0.051,-1.0,-1.0,-1.0,305.5
20021225,1.295,0.13,0.546,0.06,-1.0,-1.0,0.678,0.144,-1.0,-1.0,0.128,0.051,-1.0,-1.0,-1.0,344.8
20021226,1.24,0.13,0.525,0.06,-1.0,-1.0,0.633,0.144,-1.0,-1.0,0.117,0.051,-1.0,-1.0,-1.0,361.2
20021227,1.297,0.13,0.547,0.06,-1.0,-1.0,0.678,0.145,-1.0,-1.0,0.127,0.051,-1.0,-1.0,-1.0,346.4
20021228,1.139,0.131,0.488,0.061,-1.0,-1.0,0.55,0.145,-1.0,-1.0,0.098,0.051,-1.0,-1.0,-1.0,397.8
20021229,1.236,0.131,0.525,0.061,-1.0,-1.0,0.628,0.146,-1.0,-1.0,0.115,0.052,-1.0,-1.0,-1.0,366.7
20021230,1.352,0.132,0.569,0.061,-1.0,-1.0,0.722,0.146,-1.0,-1.0,0.137,0.052,-1.0,-1.0,-1.0,336.8
20021231,1.344,0.133,0.567,0.061,-1.0,-1.0,0.715,0.147,-1.0,-1.0,0.135,0.052,-1.0,-1.0,-1.0,340.5
20030101,1.43,0.133,0.6,0.062,-1.0,-1.0,0.785,0.148,-1.0,-1.0,0.152,0.052,-1.0,-1.0,-1.0,322.5
